날짜,시간대,배송유형,결제건수(상품주문번호),결제금액,발송건수,발송일준수건수,발송일준수율,배송완료건수,배송완료일준수건수,배송완료일준수율,평균배송기간(일),배송기간48시간내건수,배송시간48시간내비율
2023-10-24,18시,일반배송,1,98000,0,0,,0,0,,0.0,0,
2023-10-24,16시,일반배송,0,0,1,1,1.0,1,0,,1.2386342592592594,1,1.0
2023-10-23,10시,일반배송,1,96000,0,0,,0,0,,0.0,0,
2023-10-23,17시,일반배송,1,42000,0,0,,0,0,,0.0,0,
2023-10-23,18시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-10-18,18시,일반배송,1,62000,0,0,,0,0,,0.0,0,
2023-10-17,18시,일반배송,1,196000,0,0,,0,0,,0.0,0,
2023-10-13,16시,일반배송,0,0,0,0,,2,0,,2.1207060185185185,0,0.0
2023-10-12,16시,일반배송,0,0,2,2,1.0,1,0,,1.0006018518518518,1,1.0
2023-10-11,13시,일반배송,2,250000,0,0,,0,0,,0.0,0,
2023-10-11,16시,일반배송,1,25000,0,0,,0,0,,0.0,0,
2023-10-11,17시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-10-06,16시,일반배송,0,0,0,0,,2,0,,1.6003414351851852,2,1.0
2023-10-06,18시,일반배송,0,0,0,0,,1,0,,1.8711458333333333,1,1.0
2023-10-05,11시,일반배송,1,28000,0,0,,0,0,,0.0,0,
2023-10-05,13시,일반배송,0,0,0,0,,1,0,,4.693564814814815,0,0.0
2023-10-05,16시,일반배송,0,0,0,0,,2,0,,2.4677835648148148,1,0.5
2023-10-05,17시,일반배송,0,0,3,3,1.0,0,0,,0.0,0,
2023-10-04,16시,일반배송,1,80000,0,0,,0,0,,0.0,0,
2023-10-04,21시,일반배송,1,30000,0,0,,0,0,,0.0,0,
2023-10-04,17시,일반배송,0,0,3,2,0.6666666666666666,0,0,,0.0,0,
2023-10-03,09시,일반배송,1,88000,0,0,,0,0,,0.0,0,
2023-10-01,07시,일반배송,1,105000,0,0,,0,0,,0.0,0,
2023-09-26,10시,일반배송,1,28000,0,0,,3,0,,2.284201388888889,0,0.0
2023-09-26,20시,일반배송,0,0,1,1,1.0,0,0,,0.0,0,
2023-09-26,22시,일반배송,0,0,0,0,,1,0,,1.9265162037037038,1,1.0
