,매장명,위도,경도,매장타입,주소,전화번호
376,당산대로,37.533121,126.903804,pin_general,서울특별시 영등포구 양평로 22 (당산동6가),1522-3232
377,여의도IFC몰(L1)R,37.525127,126.925508,pin_reserve,서울특별시 영등포구 국제금융로 10 (여의도동)  지하1층 178호,1522-3232
378,여의도KBS R,37.526596,126.918456,pin_reserve,서울특별시 영등포구 의사당대로 26 (여의도동),1522-3232
379,여의도화재보험,37.521345,126.926004,pin_general,서울특별시 영등포구 국제금융로6길 38 (여의도동),1522-3232
380,국회대로,37.53026,126.919549,pin_general,서울특별시 영등포구 국회대로 786 (여의도동),1522-3232
381,영등포KT,37.526419,126.905314,pin_general,서울특별시 영등포구 영중로 119 (영등포동8가),1522-3232
382,여의도공원R,37.529231,126.924872,pin_reserve,서울특별시 영등포구 여의공원로 101 (여의도동),1522-3232
383,국회의사당역,37.527831,126.916882,pin_general,서울특별시 영등포구 의사당대로 8 (여의도동),1522-3232
384,여의도역R,37.523328,126.923439,pin_reserve,서울특별시 영등포구 의사당대로 83 (여의도동) 1층,1522-3232
385,선유동이레빌딩,37.534109,126.896912,pin_general,서울특별시 영등포구 선유동2로 57 (양평제1동) 이레빌딩,1522-3232
386,동여의도,37.5199494,126.9317957,pin_general,서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비,1522-3232
387,여의도ABL타워,37.518749,126.92779,pin_general,서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워,1522-3232
388,영등포신길,37.504566,126.910073,pin_general,"서울특별시 영등포구 신길로 137 (신길동) 1,2층",1522-3232
389,문래역,37.517446,126.895258,pin_general,서울특별시 영등포구 당산로 34 (문래동3가),1522-3232
390,당산,37.535164,126.899942,pin_general,서울특별시 영등포구 양평로 64 (당산동6가),1522-3232
391,여의도한양증권,37.522418,126.929093,pin_general,서울특별시 영등포구 국제금융로6길 7 (여의도동) 한양증권,1522-3232
392,여의도일신,37.528,126.920103,pin_general,서울특별시 영등포구 은행로 11 (여의도동) 1층 1부,1522-3232
393,신세계타임스퀘어B2,37.517162,126.905608,pin_general,"서울특별시 영등포구 영중로 9, 신세계타임스퀘어점 리빙관 지하2층 (영등포동4가)",1522-3232
394,하이테크시티,37.51467062,126.8986474,pin_general,서울특별시 영등포구 경인로 775 (문래동3가) 에이스하이테크시티,1522-3232
395,여의도,37.52403519,126.9245179,pin_general,서울특별시 영등포구 국제금융로2길 28 (여의도동),1522-3232
396,롯데캐슬여의도,37.52025214,126.9263678,pin_general,"서울특별시 영등포구 의사당대로 127 (여의도동, 롯데캐슬엠파이어) 1층 104호",1522-3232
397,문래동,37.519602,126.889652,pin_general,"서울특별시 영등포구 선유로 64, 대창타운빌 1층 (문래동3가)",1522-3232
398,신세계타임스퀘어1F,37.517162,126.905608,pin_general,"서울특별시 영등포구 영중로 9, 신세계백화점 리빙관 1층 (영등포동4가)",1522-3232
399,여의도호성,37.520176,126.929426,pin_general,"서울특별시 영등포구 여의대방로65길 24, 호성빌딩 1층 (여의도동)",1522-3232
400,타임스퀘어B2,37.516985,126.903387,pin_general,"서울특별시 영등포구 영중로 15, 지하2층 (영등포동4가)",1522-3232
401,영등포본동,37.518713,126.909559,pin_general,서울특별시 영등포구 영등포로 254 (영등포동3가),1522-3232
402,타임스퀘어2F,37.516985,126.903387,pin_general,서울특별시 영등포구 영중로 15 지상2층 (영등포동4가),1522-3232
403,여의도의사당,37.530023,126.92109,pin_general,서울특별시 영등포구 국회대로74길 12 (여의도동),1522-3232
404,여의도IFC(1F),37.525273,126.924668,pin_general,서울특별시 영등포구 국제금융로 10 (여의도동),1522-3232
405,여의도신한투자증권타워,37.52498,126.92414,pin_general,서울특별시 영등포구 여의대로 70 (여의도동),1522-3232
406,선유도역 1번출구,37.538333,126.893612,pin_general,서울특별시 영등포구 양평로 128 (양평동5가)양평로 128,1522-3232
407,영등포시장역,37.523475,126.904907,pin_general,서울특별시 영등포구 영중로 79 (영등포동7가),1522-3232
408,영등포구청역,37.52789,126.89608,pin_general,서울특별시 영등포구 국회대로 558 ,1522-3232
409,서울양평역,37.523128,126.885809,pin_general,"서울특별시 영등포구 선유서로24길 6 (양평동1가, 영등포 중흥 S-CLASS)",1522-3232
410,영등포시장교차로,37.5204239,126.904446,pin_general,서울특별시 영등포구 영중로 45 (영등포동6가),1522-3232
411,더현대서울(B2)R,37.5264,126.92877,pin_reserve,서울특별시 영등포구 여의대로 108 (여의도동),1522-3232
412,당산역사거리,37.533984,126.901156,pin_general,서울특별시 영등포구 양평로 47 (당산동5가),1522-3232
413,신풍역,37.5003469620528,126.908438384002,pin_general,서울특별시 영등포구 신풍로 23 (신길동),1522-3232
414,불광역,37.609382,126.9303971,pin_general,서울특별시 은평구 통일로 715 (대조동),1522-3232
415,구파발사거리,37.639617,126.91881,pin_general,서울특별시 은평구 진관3로 21 은평엘크루 101동 105-108호,1522-3232
416,연신내역사거리,37.61862,126.922062,pin_general,서울특별시 은평구 통일로 842 (불광동),1522-3232
417,연신내,37.620417,126.919913,pin_general,서울특별시 은평구 통일로 867 (갈현동),1522-3232
418,구파발역,37.63446,126.918881,pin_general,서울특별시 은평구 진관2로 12,1522-3232
419,은평구청입구,37.601042,126.926789,pin_general,서울특별시 은평구 은평로 170 (응암동),1522-3232
420,은평이마트,37.60037923,126.9202735,pin_general,서울특별시 은평구 은평로 111 (응암동),1522-3232
421,구산역,37.611745,126.917678,pin_general,서울특별시 은평구 연서로 146 (대조동),1522-3232
422,불광역8번출구,37.61199,126.9289,pin_general,서울특별시 은평구 통일로 746 (불광동),1522-3232
423,수색,37.580028056228564,126.89959357216976,pin_general,서울특별시 은평구 수색로 216 (수색동),1522-3232
424,새절역,37.5894266730207,126.912863456524,pin_general,서울특별시 은평구 증산로 371 (신사동),1522-3232
425,더북한산,37.6554576593266,126.947556374345,pin_general,서울특별시 은평구 대서문길 24-11 (진관동),1522-3232
